customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_bucket,services_count,monthly_to_total_ratio,internet_no_tech_support,fiber_optic,month_to_month,no_online_security,expected_tenure,CLV
8499-BRXTD,1,0,0,0,18,1,0,2,1,1,1,1,1,1,1,0,3,20.1,401.85,0,1,1,1.1106965174129353,0,0,0,0,30,603.0
4060-LDNLU,1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,0,2,96.2,639.7,0,3,5,0.94995544995545,1,1,1,1,13,1250.6000000000001
1428-IEDPR,1,0,0,0,52,1,2,1,2,0,2,2,2,2,2,1,2,109.3,5731.4,0,2,8,1.008410162573017,0,1,0,0,84,9181.199999999999
2796-NNUFI,0,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,19.95,927.1,0,2,1,1.0102429988013513,0,0,0,0,60,1197.0
2474-BRUCM,1,1,1,0,40,1,2,1,2,0,0,0,2,2,0,0,2,101.85,4086.3,1,2,6,1.003019145802651,1,1,1,0,46,4685.099999999999
1455-UGQVH,1,0,1,0,10,1,2,1,0,0,2,0,2,2,0,1,2,98.5,1037.75,1,3,6,1.0535532994923857,1,1,1,1,16,1576.0
1552-AAGRX,0,0,0,0,30,1,2,1,2,0,0,2,2,2,0,0,0,106.4,3211.9,0,2,7,1.006234335839599,0,1,1,0,36,3830.4
8292-TYSPY,1,0,0,0,19,1,0,0,0,0,2,2,0,0,0,1,1,55.0,1046.5,1,1,4,1.0014354066985647,0,0,1,1,25,1375.0
5175-WLYXL,1,0,0,0,22,1,2,1,0,2,0,0,0,0,0,1,3,78.85,1600.25,0,1,4,0.9224938029630485,1,1,1,1,28,2207.7999999999997
9498-FIMXL,0,0,0,0,8,1,0,2,1,1,1,1,1,1,1,1,3,19.2,161.95,0,3,1,1.0543619791666667,0,0,0,0,18,345.59999999999997
